Initial best makespan; 1150
Initial worst makespan; 1359
New best makespan; 1150
New worst makespan; 1330


Data 13
Recherche locale;1723;1697;1650;1635;1622;1609;
Premiere iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 1319
Initial worst makespan; 2106
New best makespan; 1310
New worst makespan; 1618

Cinquieme iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 1292
Initial worst makespan; 1441
New best makespan; 1292
New worst makespan; 1419


Data 14
Recherche locale;1569;1541;1527;1503;1499;
Premiere iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 1319
Initial worst makespan; 1992
New best makespan; 1265
New worst makespan; 1584

Cinquieme iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 1224
Initial worst makespan; 1400
New best makespan; 1224
New worst makespan; 1374


Data 15
Recherche locale;1422;1404;1358;
Premiere iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 1039
Initial worst makespan; 1728
New best makespan; 1024
New worst makespan; 1259

Cinquieme iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 953
Initial worst makespan; 1131
New best makespan; 953
New worst makespan; 1113


Data 16
Recherche locale;1252;1249;1207;1198;
Premiere iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 959
Initial worst makespan; 1474
New best makespan; 909
New worst makespan; 1175

Cinquieme iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 851
Initial worst makespan; 1006
New best makespan; 851
New worst makespan; 993


Data 17
Recherche locale;1537;1430;1357;1317;1310;
Premiere iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 990
Initial worst makespan; 1642
New best makespan; 922
New worst makespan; 1246

Cinquieme iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 882
Initial worst makespan; 1081
New best makespan; 882
New worst makespan; 1066


Data 18
Recherche locale;1385;1329;
Premiere iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 1075
Initial worst makespan; 1807
New best makespan; 1032
New worst makespan; 1295

Cinquieme iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 922
Initial worst makespan; 1128
New best makespan; 922
New worst makespan; 1102


Data 19
Recherche locale;1412;1408;1397;1340;1318;1262;1258;
Premiere iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 1049
Initial worst makespan; 1734
New best makespan; 1049
New worst makespan; 1305

Cinquieme iteration de l'algo genetique : 
Algo genetique
Initial best makespan; 965
Initial worst makespan; 1140
New best makespan; 933
New worst makespan; 1119


